extension,char,codepoint
Extension A,㗳,U+35F3
Extension A,䗁,U+45C1
Extension A,㪟,U+3A9F
Extension A,㤃,U+3903
Extension A,㘓,U+3613
Extension A,䖲,U+45B2
Extension A,䧟,U+49DF
Extension A,䏎,U+43CE
Extension A,䌌,U+430C
Extension A,㵩,U+3D69
Extension A,䧌,U+49CC
Extension A,㺓,U+3E93
Extension A,㶴,U+3DB4
Extension A,㽓,U+3F53
Extension A,䀥,U+4025
Extension A,䌣,U+4323
Extension A,䁎,U+404E
Extension A,㧰,U+39F0
Extension A,䏰,U+43F0
Extension A,䡴,U+4874
Extension A,㮏,U+3B8F
Extension A,䄽,U+413D
Extension A,㝘,U+3758
Extension A,䌽,U+433D
Extension A,䟑,U+47D1
Extension A,㣒,U+38D2
Extension A,䈘,U+4218
Extension A,㳋,U+3CCB
Extension A,㠌,U+380C
Extension A,䞞,U+479E
Extension A,㩆,U+3A46
Extension A,䣫,U+48EB
Extension A,䋬,U+42EC
Extension A,䳵,U+4CF5
Extension A,㚽,U+36BD
Extension A,㠍,U+380D
Extension A,㲓,U+3C93
Extension A,䪽,U+4ABD
Extension A,䝩,U+4769
Extension A,㯎,U+3BCE
Extension A,㳬,U+3CEC
Extension A,䍩,U+4369
Extension A,䀯,U+402F
Extension A,㩟,U+3A5F
Extension A,㘡,U+3621
Extension A,㨿,U+3A3F
Extension A,䣡,U+48E1
Extension A,䀑,U+4011
Extension A,䓢,U+44E2
Extension A,䩭,U+4A6D
Extension A,䗙,U+45D9
Extension A,䫂,U+4AC2
Extension A,䥢,U+4962
Extension A,㓻,U+34FB
Extension A,㭗,U+3B57
Extension A,㓽,U+34FD
Extension A,䋸,U+42F8
Extension A,㴰,U+3D30
Extension A,䍶,U+4376
Extension A,䆍,U+418D
Extension A,㟎,U+37CE
Extension A,㜕,U+3715
Extension A,㗕,U+35D5
Extension A,㐂,U+3402
Extension A,䙃,U+4643
Extension A,㭲,U+3B72
Extension A,㳉,U+3CC9
Extension A,䉌,U+424C
Extension A,䥞,U+495E
Extension A,㓌,U+34CC
Extension A,䘏,U+460F
Extension A,㼿,U+3F3F
Extension A,䴈,U+4D08
Extension A,䣣,U+48E3
Extension A,䒥,U+44A5
Extension A,㹼,U+3E7C
Extension A,䖏,U+458F
Extension A,䨮,U+4A2E
Extension A,㹥,U+3E65
Extension A,䔞,U+451E
Extension A,䒭,U+44AD
Extension A,䄉,U+4109
Extension A,䦍,U+498D
Extension A,䰋,U+4C0B
Extension A,䙩,U+4669
Extension A,䧰,U+49F0
Extension A,㥷,U+3977
Extension A,䖕,U+4595
Extension A,䈒,U+4212
Extension A,㪄,U+3A84
Extension A,㢵,U+38B5
Extension A,䈝,U+421D
Extension A,㿝,U+3FDD
Extension A,䁞,U+405E
Extension A,㷐,U+3DD0
Extension A,䤼,U+493C
Extension A,㧳,U+39F3
Extension A,䃘,U+40D8
Extension A,䍲,U+4372
Extension A,㗖,U+35D6
Extension A,䔎,U+450E
Extension A,㴦,U+3D26
Extension A,䋠,U+42E0
Extension A,䱲,U+4C72
Extension A,㿩,U+3FE9
Extension A,䍈,U+4348
Extension A,䳽,U+4CFD
Extension A,䋌,U+42CC
Extension A,㺕,U+3E95
Extension A,䊶,U+42B6
Extension A,䑻,U+447B
Extension A,㻅,U+3EC5
Extension A,䐩,U+4429
Extension A,㫑,U+3AD1
Extension A,䊗,U+4297
Extension A,䁄,U+4044
Extension A,㟑,U+37D1
Extension A,䈼,U+423C
Extension A,䝉,U+4749
Extension A,䵺,U+4D7A
Extension A,㑋,U+344B
Extension A,䕶,U+4576
Extension A,㦲,U+39B2
Extension A,㝺,U+377A
Extension A,㭙,U+3B59
Extension A,䅑,U+4151
Extension A,㩀,U+3A40
Extension A,䓡,U+44E1
Extension A,䀞,U+401E
Extension A,䭠,U+4B60
Extension A,䶵,U+4DB5
Extension A,㧩,U+39E9
Extension A,䔟,U+451F
Extension A,㒑,U+3491
Extension A,䊭,U+42AD
Extension A,㣌,U+38CC
Extension A,䣂,U+48C2
Extension A,䒜,U+449C
Extension A,䝦,U+4766
Extension A,㻙,U+3ED9
Extension A,䍗,U+4357
Extension A,㸁,U+3E01
Extension A,㱑,U+3C51
Extension A,㞹,U+37B9
Extension A,䤞,U+491E
Extension A,㪊,U+3A8A
Extension A,㸒,U+3E12
Extension A,䠛,U+481B
Extension A,㒂,U+3482
Extension A,㭎,U+3B4E
Extension A,㥐,U+3950
Extension A,䕅,U+4545
Extension A,䩅,U+4A45
Extension A,䀵,U+4035
Extension A,䭽,U+4B7D
Extension A,㕐,U+3550
Extension A,䮴,U+4BB4
Extension A,䌈,U+4308
Extension A,㠜,U+381C
Extension A,㜁,U+3701
Extension A,䢍,U+488D
Extension A,㹋,U+3E4B
Extension A,㸈,U+3E08
Extension A,䦻,U+49BB
Extension A,㶁,U+3D81
Extension A,䔏,U+450F
Extension A,㟣,U+37E3
Extension A,䙦,U+4666
Extension A,㞳,U+37B3
Extension A,㜣,U+3723
Extension A,㛊,U+36CA
Extension A,㛓,U+36D3
Extension A,㣑,U+38D1
Extension A,䔶,U+4536
Extension A,䰛,U+4C1B
Extension A,㔶,U+3536
Extension A,㼒,U+3F12
Extension A,㑑,U+3451
Extension A,㴠,U+3D20
Extension A,㡯,U+386F
Extension A,䦳,U+49B3
Extension A,㬑,U+3B11
Extension A,㝓,U+3753
Extension A,䦯,U+49AF
Extension A,䛪,U+46EA
Extension A,㑐,U+3450
Extension A,䃷,U+40F7
Extension A,䟧,U+47E7
Extension A,㲃,U+3C83
Extension A,䗢,U+45E2
Extension A,䈮,U+422E
Extension A,䡬,U+486C
Extension A,㷭,U+3DED
Extension A,䄠,U+4120
Extension A,㡹,U+3879
Extension A,㵅,U+3D45
Extension A,㥬,U+396C
Extension A,㳣,U+3CE3
Extension A,㣯,U+38EF
Extension A,㭨,U+3B68
Extension A,㑯,U+346F
Extension A,䁐,U+4050
Extension A,䔍,U+450D
Extension A,㵗,U+3D57
Extension A,䞭,U+47AD
Extension A,㓉,U+34C9
Extension A,㓤,U+34E4
Extension A,㥟,U+395F
Extension A,㾰,U+3FB0
Extension A,䯡,U+4BE1
Extension A,㩫,U+3A6B
Extension A,䚚,U+469A
Extension A,㸚,U+3E1A
Extension A,㧂,U+39C2
Extension A,㤮,U+392E
Extension A,㳿,U+3CFF
Extension A,㛥,U+36E5
Extension A,㛬,U+36EC
Extension A,䁁,U+4041
Extension A,㻠,U+3EE0
Extension A,䬴,U+4B34
Extension A,䦭,U+49AD
Extension A,䳩,U+4CE9
Extension A,㝋,U+374B
Extension A,䒌,U+448C
Extension A,䅙,U+4159
Extension A,㰐,U+3C10
Extension A,㫁,U+3AC1
Extension A,䫀,U+4AC0
Extension A,䔁,U+4501
Extension A,㭭,U+3B6D
Extension A,䴡,U+4D21
Extension A,䥓,U+4953
Extension A,㪶,U+3AB6
Extension A,䜾,U+473E
Extension A,㔞,U+351E
Extension A,㜶,U+3736
Extension A,㤿,U+393F
Extension A,䢙,U+4899
Extension A,㜡,U+3721
Extension A,䑣,U+4463
Extension A,䆻,U+41BB
Extension A,㤐,U+3910
Extension A,䘉,U+4609
Extension A,㭃,U+3B43
Extension A,㝸,U+3778
Extension A,䄅,U+4105
Extension A,㥌,U+394C
Extension A,㽅,U+3F45
Extension A,䝪,U+476A
Extension A,㷉,U+3DC9
Extension A,㧴,U+39F4
Extension A,䈋,U+420B
Extension A,䧑,U+49D1
Extension A,䢛,U+489B
Extension A,䇩,U+41E9
Extension A,㑟,U+345F
Extension A,䭪,U+4B6A
Extension A,㞥,U+37A5
Extension A,㖅,U+3585
Extension A,䮓,U+4B93
Extension A,㢘,U+3898
Extension A,䯆,U+4BC6
Extension A,㽙,U+3F59
Extension A,㟱,U+37F1
Extension A,㻫,U+3EEB
Extension A,㘬,U+362C
Extension A,䦌,U+498C
Extension A,㸍,U+3E0D
Extension A,㭦,U+3B66
Extension A,㡻,U+387B
Extension A,㻴,U+3EF4
Extension A,㪰,U+3AB0
Extension A,㩖,U+3A56
Extension A,㨀,U+3A00
Extension A,㺬,U+3EAC
Extension A,㳥,U+3CE5
Extension A,㹊,U+3E4A
Extension A,㦄,U+3984
Extension A,䵝,U+4D5D
Extension A,䌎,U+430E
Extension A,㱒,U+3C52
Extension A,䴂,U+4D02
Extension A,䞙,U+4799
Extension A,㭿,U+3B7F
Extension A,䨱,U+4A31
Extension A,䃭,U+40ED
Extension A,䒋,U+448B
Extension A,䖘,U+4598
Extension A,㨫,U+3A2B
Extension A,㫹,U+3AF9
Extension A,㛱,U+36F1
Extension A,㑼,U+347C
Extension A,㲴,U+3CB4
Extension A,㬲,U+3B32
Extension A,䳆,U+4CC6
Extension A,䃽,U+40FD
Extension A,䅎,U+414E
Extension A,㢓,U+3893
Extension A,㹡,U+3E61
Extension A,䖊,U+458A
Extension A,㾂,U+3F82
Extension A,㜠,U+3720
Extension A,䤻,U+493B
Extension A,㨳,U+3A33
Extension A,㝌,U+374C
Extension A,䫏,U+4ACF
Extension A,䢦,U+48A6
Extension A,㵝,U+3D5D
Extension A,㚒,U+3692
Extension A,㓵,U+34F5
Extension A,㖄,U+3584
Extension A,䮼,U+4BBC
Extension A,䣐,U+48D0
Extension A,㛮,U+36EE
Extension A,㢁,U+3881
Extension A,㟩,U+37E9
Extension A,䣊,U+48CA
Extension A,㖞,U+359E
