character,unicode,code_point,block
㐀,U+3400,13312,CJK Extension A
㐁,U+3401,13313,CJK Extension A
㐂,U+3402,13314,CJK Extension A
㐃,U+3403,13315,CJK Extension A
㐄,U+3404,13316,CJK Extension A
㐅,U+3405,13317,CJK Extension A
㐆,U+3406,13318,CJK Extension A
㐇,U+3407,13319,CJK Extension A
㐈,U+3408,13320,CJK Extension A
㐉,U+3409,13321,CJK Extension A
㐊,U+340A,13322,CJK Extension A
㐋,U+340B,13323,CJK Extension A
㐌,U+340C,13324,CJK Extension A
㐍,U+340D,13325,CJK Extension A
㐎,U+340E,13326,CJK Extension A
㐏,U+340F,13327,CJK Extension A
㐐,U+3410,13328,CJK Extension A
㐑,U+3411,13329,CJK Extension A
㐒,U+3412,13330,CJK Extension A
㐓,U+3413,13331,CJK Extension A
㐔,U+3414,13332,CJK Extension A
㐕,U+3415,13333,CJK Extension A
㐖,U+3416,13334,CJK Extension A
㐗,U+3417,13335,CJK Extension A
㐘,U+3418,13336,CJK Extension A
㐙,U+3419,13337,CJK Extension A
㐚,U+341A,13338,CJK Extension A
㐛,U+341B,13339,CJK Extension A
㐜,U+341C,13340,CJK Extension A
㐝,U+341D,13341,CJK Extension A
㐞,U+341E,13342,CJK Extension A
㐟,U+341F,13343,CJK Extension A
㐠,U+3420,13344,CJK Extension A
㐡,U+3421,13345,CJK Extension A
㐢,U+3422,13346,CJK Extension A
㐣,U+3423,13347,CJK Extension A
㐤,U+3424,13348,CJK Extension A
㐥,U+3425,13349,CJK Extension A
㐦,U+3426,13350,CJK Extension A
㐧,U+3427,13351,CJK Extension A
㐨,U+3428,13352,CJK Extension A
㐩,U+3429,13353,CJK Extension A
㐪,U+342A,13354,CJK Extension A
㐫,U+342B,13355,CJK Extension A
㐬,U+342C,13356,CJK Extension A
㐭,U+342D,13357,CJK Extension A
㐮,U+342E,13358,CJK Extension A
㐯,U+342F,13359,CJK Extension A
㐰,U+3430,13360,CJK Extension A
㐱,U+3431,13361,CJK Extension A
㐲,U+3432,13362,CJK Extension A
㐳,U+3433,13363,CJK Extension A
㐴,U+3434,13364,CJK Extension A
㐵,U+3435,13365,CJK Extension A
㐶,U+3436,13366,CJK Extension A
㐷,U+3437,13367,CJK Extension A
㐸,U+3438,13368,CJK Extension A
㐹,U+3439,13369,CJK Extension A
㐺,U+343A,13370,CJK Extension A
㐻,U+343B,13371,CJK Extension A
㐼,U+343C,13372,CJK Extension A
㐽,U+343D,13373,CJK Extension A
㐾,U+343E,13374,CJK Extension A
㐿,U+343F,13375,CJK Extension A
㑀,U+3440,13376,CJK Extension A
